,,Depth (cm),,,,,,,,,,,
,"environmental samples <CFB group bacteria,genus Marinifilum>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Marinifilum sp.,0,0,0,0,0,69,0,0,0,0,0,0
,Marinilabiliaceae,0,4,0,1,1,7,2,0,0,1,0,0
,Alkalitalea,1,1,0,0,0,1,0,0,0,0,0,0
,Alkalitalea saponilacus,22,93,5,13,61,802,50,48,5,40,25,136
,"environmental samples <CFB group bacteria,family Marinilabiliaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Marinilabiliaceae bacterium,0,0,0,0,0,10,0,0,0,0,0,0
,Prolixibacteraceae,0,3,0,1,0,5,0,0,0,0,0,1
,Draconibacterium,0,0,0,0,0,3,0,1,0,0,0,0
,Draconibacterium orientale,50,385,56,80,1118,19589,676,1021,43,979,151,291
,Tangfeifania,0,0,0,0,0,0,0,0,0,0,0,0
,Tangfeifania diversioriginum,0,0,0,0,0,31,0,0,0,0,0,0
,Salinivirgaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Salinivirga,0,0,0,0,0,0,0,0,0,0,0,0
,Salinivirga cyanobacteriivorans,10,59,5,18,50,719,37,55,0,77,18,51
,Chitinophagia,0,0,0,0,0,0,0,0,0,0,0,0
,Chitinophagales,0,0,0,0,0,0,0,0,0,0,0,0
,Chitinophagaceae,5,13,11,19,12,80,8,11,14,5,4,15
,Arachidicoccus,0,0,0,0,0,0,0,0,0,0,0,0
,Arachidicoccus ginsenosidivorans,5,19,0,0,24,117,5,13,0,9,25,103
,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0
,Chitinophaga pinensis,27,51,0,16,37,372,28,25,0,40,10,39
,"environmental samples <CFB group bacteria,family Chitinophagaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Chitinophagaceae bacterium,0,0,0,0,5,72,0,0,0,0,0,0
,Filimonas,0,0,0,0,0,0,0,0,0,0,0,0
,Filimonas lacunae,9,25,0,0,19,178,21,25,0,14,25,30
,Flavisolibacter,5,2,1,12,0,1,4,11,0,2,0,0
,Flavisolibacter ginsenosidimutans,8,29,0,0,34,167,8,0,0,5,27,73
,Flavisolibacter tropicus,12,31,8,0,21,168,17,12,0,11,7,39
,Lacibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Lacibacter cauensis,0,0,0,0,0,6,0,0,0,0,0,0
,Niabella,4,1,7,0,4,3,1,6,0,3,1,1
,Niabella ginsenosidivorans,16,30,0,0,12,107,6,21,0,0,7,27
,Niabella soli,12,22,0,0,8,115,13,0,0,63,26,22
,Niastella,3,4,6,2,5,0,4,4,0,9,0,0
,Niastella koreensis,32,48,0,5,24,184,24,16,0,8,10,34
,Pseudobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudobacter ginsenosidimutans,8,29,0,0,0,84,6,5,0,0,6,28
,Cytophagia,0,4,0,1,7,6,2,2,0,0,2,3
,Cytophagales,4,16,10,3,12,109,4,6,4,4,4,13
,Amoebophilaceae,8,2,0,5,6,11,5,5,0,1,0,4
,Candidatus Amoebophilus,0,0,0,0,0,1,0,0,0,0,0,0
,Candidatus Amoebophilus asiaticus,0,9,0,0,7,53,5,16,0,6,5,33
,Candidatus Cardinium,6,16,0,0,6,25,9,0,0,0,8,5
,Candidatus Cardinium hertigii,0,6,0,0,0,20,0,0,0,0,0,0
,Cardinium endosymbiont of Bemisia tabaci,0,0,0,0,5,0,0,0,0,0,0,0
,Cardinium endosymbiont of Encarsia pergandiella,0,0,0,0,0,36,0,0,0,0,0,13
,Cardinium endosymbiont of Sogatella furcifera,0,8,0,0,0,8,0,0,0,0,0,0
,Bernardetiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Bernardetia,0,0,0,0,0,0,0,0,0,0,0,0
,Bernardetia litoralis,8,46,0,14,101,441,26,17,0,70,61,153
,Cyclobacteriaceae,13,5,9,10,4,32,11,5,6,2,1,3
,Aquiflexum,0,0,0,0,0,0,0,0,0,0,0,0
,Aquiflexum balticum,17,52,6,8,38,355,18,22,0,29,10,21
,Belliella,0,0,0,0,0,0,0,0,0,0,0,0
,Belliella baltica,6,35,0,0,46,290,8,22,0,31,52,101
,Cyclobacterium,0,6,6,4,3,13,5,2,2,5,1,1
,Cyclobacterium amurskyense,6,39,0,11,37,359,11,27,5,34,23,36
,Cyclobacterium marinum,6,32,0,0,44,351,17,31,0,27,38,167
,Echinicola,0,0,0,0,0,0,0,0,0,0,0,0
,Echinicola vietnamensis,19,36,0,7,22,135,10,8,0,22,19,44
,Cytophagaceae,20,33,38,29,11,82,28,9,18,15,11,9
,Cytophaga,2,4,0,0,7,10,2,3,0,2,3,6
,Cytophaga hutchinsonii,8,39,6,0,31,187,13,16,0,39,8,36
,"environmental samples <CFB group bacteria,genus Cytophaga>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Cytophaga sp.,0,0,0,0,0,40,0,0,0,0,0,11
,unclassified Cytophaga,0,0,0,0,0,0,0,0,0,0,0,0
,Cytophaga sp. 'Egg clone D49',0,0,0,0,0,23,0,0,0,0,0,0
,Dyadobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Dyadobacter fermentans,11,39,0,0,23,131,11,13,0,7,5,18
,unclassified Dyadobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Dyadobacter sp. 32,16,26,0,6,27,210,8,16,0,9,11,13
,Emticicia,0,0,0,0,0,0,0,0,0,0,0,0
,Emticicia oligotrophica,12,20,0,0,45,324,17,32,0,28,24,50
,Fibrella,0,0,0,0,0,0,0,0,0,0,0,0
,Fibrella aestuarina,26,48,0,5,20,93,13,16,0,0,0,0
,Flexibacter,0,2,0,0,1,3,0,0,0,0,0,0
,Leadbetterella,0,0,0,0,0,0,0,0,0,0,0,0
,Leadbetterella byssophila,10,18,0,0,21,158,9,12,0,23,40,122
,Runella,0,0,0,0,0,0,0,0,0,0,0,0
,Runella slithyformis,13,45,6,6,15,157,15,16,0,11,0,29
,Spirosoma,10,9,7,25,7,14,13,12,4,6,4,10
,Spirosoma aerolatum,16,39,0,0,16,124,9,8,0,0,0,10
,Spirosoma linguale,19,49,5,0,6,160,10,14,0,15,7,16
,Spirosoma montaniterrae,23,27,0,0,17,96,0,0,0,5,0,7
,Spirosoma radiotolerans,22,34,0,0,14,137,14,6,7,55,33,98
,Spirosoma rigui,19,36,0,0,10,87,11,19,0,19,0,6
,Flammeovirgaceae,7,9,10,16,0,16,9,0,8,1,1,2
,"environmental samples <CFB group bacteria,family Flammeovirgaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Flammeovirgaceae bacterium,0,0,0,0,0,5,0,0,0,0,0,0
,Fabibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Fabibacter pacificus,12,27,0,6,45,262,20,16,0,35,42,146
,Flammeovirga,0,4,0,0,1,14,0,1,0,2,0,0
,Flammeovirga pacifica,0,0,0,0,0,8,0,0,0,0,0,0
,unclassified Flammeovirga,0,0,0,0,0,0,0,0,0,0,0,0
,Flammeovirga sp. MY04,6,33,0,0,79,471,16,23,0,47,29,68
,Marivirga,0,0,0,0,0,0,0,0,0,0,0,0
,Marivirga tractuosa,13,41,0,5,37,300,30,27,0,25,30,103
,unclassified Flammeovirgaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Flammeovirgaceae bacterium 311,18,32,5,0,13,181,12,17,0,15,5,24
,Hymenobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0
,Hymenobacter,36,57,27,29,28,117,37,38,16,25,16,35
,Hymenobacter sedentarius,27,49,5,0,15,72,18,8,0,5,0,0
,Hymenobacter swuensis,25,27,0,0,0,73,9,7,0,0,0,5
,unclassified Hymenobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Hymenobacter sp. APR13,21,29,7,6,0,59,11,16,0,0,0,5
,Hymenobacter sp. DG25A,19,24,0,0,0,62,15,0,0,0,0,0
,Hymenobacter sp. DG25B,15,23,0,5,6,43,6,5,0,0,0,0
,Hymenobacter sp. PAMC 26554,32,56,5,5,16,109,14,15,0,5,0,0
,Hymenobacter sp. PAMC 26628,22,49,0,6,12,115,20,6,0,5,0,6
,Pontibacter,3,2,6,16,1,4,4,12,0,6,0,4
,Pontibacter actiniarum,19,37,0,0,9,72,14,6,0,0,5,15
,Pontibacter akesuensis,13,34,0,6,13,72,9,7,0,27,15,55
,Pontibacter korlensis,12,20,0,0,14,120,11,0,0,9,9,16
,Rufibacter,6,3,5,9,5,20,9,10,5,7,3,9
,Rufibacter tibetensis,11,28,0,0,7,114,11,5,0,15,0,15
,unclassified Rufibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Rufibacter sp. DG15C,5,26,0,0,14,78,0,6,0,0,5,12
,Rufibacter sp. DG31D,15,30,0,0,24,127,18,5,0,5,0,10
,"environmental samples <CFB group bacteria,class Cytophagia>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Cytophagia bacterium,0,0,0,0,0,13,0,0,0,0,0,0
,"environmental samples <CFB group bacteria,phylum Bacteroidetes>",0,3,1,0,1,4,1,0,0,0,2,1
,uncultured Bacteroidetes bacterium,12,83,13,17,80,1090,51,51,0,46,17,53
,Flavobacteriia,10,40,8,13,34,279,6,12,4,12,28,84
,"environmental samples <CFB group bacteria,class Flavobacteriia>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Flavobacteriia bacterium,0,28,0,7,28,232,10,0,0,12,25,64
,Flavobacteriales,4,44,8,15,50,272,15,10,10,25,25,53
,Blattabacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Blattabacterium,24,47,11,11,46,180,29,30,0,83,43,93
,Blattabacterium clevelandi,0,0,0,0,0,6,0,0,0,0,0,0
,Blattabacterium cuenoti,0,5,0,0,15,49,0,0,0,0,5,7
,Blattabacterium punctulatus,0,11,0,0,15,57,0,6,0,7,7,0
,unclassified Blattabacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Blattabacterium sp. (Blaberus giganteus),0,7,0,0,5,46,0,0,0,0,0,0
,Blattabacterium sp. (Blatta orientalis),0,0,0,0,0,18,0,0,0,0,0,0
,Blattabacterium sp. (Blattella germanica),0,0,0,0,0,29,0,0,0,0,0,0
,Blattabacterium sp. (Cryptocercus kyebangensis),0,0,0,0,0,17,0,0,0,0,0,0
,Blattabacterium sp. (Mastotermes darwiniensis),0,0,0,0,23,23,0,0,0,0,6,0
,Blattabacterium sp. (Nauphoeta cinerea),0,8,0,0,5,82,0,0,0,5,24,65
,Blattabacterium sp. (Periplaneta americana),0,0,0,0,0,14,0,0,0,0,0,0
,Crocinitomicaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Fluviicola,0,1,0,0,0,1,0,1,0,2,3,1
,Fluviicola taffensis,8,20,5,7,64,338,8,33,6,9,26,43
,Cryomorphaceae,6,5,3,1,8,8,9,5,4,7,5,2
,"environmental samples <CFB group bacteria,family Cryomorphaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Cryomorphaceae bacterium,0,16,0,0,11,129,7,0,0,0,0,8
,Owenweeksia,0,2,0,0,3,2,0,1,0,0,0,0
,"environmental samples <CFB group bacteria,genus Owenweeksia>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Owenweeksia sp.,0,0,0,0,0,11,0,0,0,0,0,0
,Owenweeksia hongkongensis,16,49,0,7,45,393,17,23,0,25,12,36
,Flavobacteriaceae,181,924,177,286,1186,7009,275,258,76,619,1504,2983
,Aequorivita,0,0,0,0,0,0,0,0,0,0,0,0
,Aequorivita sublithincola,18,41,6,5,64,395,16,28,0,17,49,131
,Algibacter,0,0,0,0,0,5,0,0,0,0,0,0
,Arenibacter,0,2,0,0,1,12,0,0,0,0,2,2
,Arenibacter algicola,9,71,6,12,54,771,26,14,6,16,83,246
,Arenibacter palladensis,0,0,0,0,0,6,0,0,0,0,0,0
,Capnocytophaga,32,57,36,53,59,344,138,139,28,70,54,89
,Capnocytophaga canimorsus,14,40,0,7,32,347,14,8,0,42,25,82
,Capnocytophaga cynodegmi,5,12,0,0,29,182,6,5,0,14,21,54
,Capnocytophaga gingivalis,7,19,8,14,0,76,116,115,0,13,0,13
,Capnocytophaga haemolytica,0,7,0,0,0,43,0,5,0,12,0,20
,Capnocytophaga leadbetteri,0,20,5,9,16,51,96,94,0,19,6,32
,Capnocytophaga ochracea,0,0,5,0,0,65,0,6,0,0,6,6
,Capnocytophaga sputigena,12,22,7,9,22,151,58,46,0,12,9,33
,unclassified Capnocytophaga,0,0,0,0,0,0,0,0,0,0,0,0
,Capnocytophaga sp. ChDC OS43,0,6,0,0,0,55,17,17,0,0,0,7
,Capnocytophaga sp. oral taxon 864,10,9,0,0,0,35,0,9,0,0,0,5
,Capnocytophaga sp. oral taxon 878,5,8,0,5,11,76,0,23,0,5,13,23
,Cellulophaga,4,19,6,5,28,123,1,5,6,12,23,37
,Cellulophaga algicola,18,53,7,14,92,616,19,14,0,19,86,192
,Cellulophaga baltica,13,80,0,12,103,751,25,53,5,105,120,254
,Cellulophaga lytica,13,79,0,15,109,801,30,43,0,48,157,362
,Chryseobacterium,72,105,63,82,109,634,94,59,17,76,76,210
,Chryseobacterium antarcticum,5,15,0,0,24,239,11,6,0,24,19,46
,Chryseobacterium arthrosphaerae,0,13,0,0,26,89,0,18,0,53,15,6
,Chryseobacterium balustinum,11,16,0,0,19,137,9,15,0,17,20,55
,Chryseobacterium bernardetii,7,24,0,0,11,112,8,20,0,7,19,52
,Chryseobacterium camelliae,8,17,0,0,0,43,5,10,0,7,5,27
,Chryseobacterium carnipullorum,7,23,0,0,33,150,6,11,0,9,18,54
,Chryseobacterium carnis,10,29,0,6,23,151,7,12,0,8,15,26
,Chryseobacterium gallinarum,6,9,0,0,28,108,6,0,0,8,7,40
,Chryseobacterium gleum,19,27,5,0,54,338,18,17,5,19,23,33
,Chryseobacterium haifense,27,75,17,12,25,169,62,29,7,6,14,20
,Chryseobacterium indologenes,16,68,0,0,59,493,19,45,0,75,62,118
,Chryseobacterium indoltheticum,9,22,0,0,30,256,13,18,0,26,34,64
,Chryseobacterium jeonii,8,24,5,6,30,192,17,14,0,18,16,73
,Chryseobacterium joostei,5,8,0,0,19,116,8,31,0,12,11,45
,Chryseobacterium lactis,0,23,0,0,5,78,11,10,6,15,14,32
,Chryseobacterium nakagawai,12,11,0,0,10,128,15,15,0,13,10,12
,Chryseobacterium piperi,9,14,0,0,16,122,9,0,0,18,26,74
,Chryseobacterium shandongense,6,26,0,0,13,138,22,14,0,6,8,15
,Chryseobacterium taklimakanense,16,46,6,0,25,190,23,10,0,10,11,21
,"environmental samples <CFB group bacteria,genus Chryseobacterium>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Chryseobacterium sp.,0,0,0,0,0,5,0,0,0,0,0,0
,unclassified Chryseobacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Chryseobacterium sp. StRB126,8,15,0,0,19,143,0,0,0,30,10,30
,Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Cloacibacterium normanense,15,36,8,7,59,275,49,60,0,27,47,150
,Croceibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Croceibacter atlanticus,9,43,0,7,63,368,14,26,0,99,70,167
,Dokdonia,6,22,0,8,23,147,11,9,0,81,39,123
,Dokdonia donghaensis,0,14,0,0,13,105,5,6,0,0,11,34
,unclassified Dokdonia,0,0,0,0,0,0,0,0,0,0,0,0
,Dokdonia sp. 4H-3-7-5,7,14,0,0,36,190,8,19,0,40,50,121
,Dokdonia sp. MED134,0,0,0,0,11,135,0,0,0,6,18,42
,Elizabethkingia,7,15,11,11,36,160,17,11,5,44,11,37
,Elizabethkingia anophelis,6,35,0,0,46,306,13,12,0,41,36,108
,Elizabethkingia meningoseptica,5,25,0,0,29,131,7,5,0,19,18,60
,Elizabethkingia miricola,5,15,0,0,25,224,11,16,0,13,37,66
,"environmental samples <CFB group bacteria,family Flavobacteriaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Flavobacteriaceae bacterium,0,13,0,0,0,62,0,0,0,0,16,10
,Flagellimonas,0,0,0,0,0,0,0,0,0,0,0,0
,Flagellimonas maritima,0,35,8,0,34,396,17,16,0,7,47,113
,Flavobacterium,45,82,48,38,72,500,41,35,25,41,77,130
,Flavobacterium algicola,0,0,0,0,0,12,0,0,0,0,0,0
,Flavobacterium anhuiense,12,54,0,15,69,536,31,23,7,60,70,219
,Flavobacterium aquatile,0,0,0,0,0,5,0,0,0,0,0,0
,Flavobacterium branchiophilum,8,39,6,5,41,269,6,6,0,17,61,177
,Flavobacterium columnare,11,73,7,0,107,659,23,29,5,94,109,219
,Flavobacterium commune,21,62,10,18,78,411,16,21,0,34,50,164
,Flavobacterium faecale,7,52,0,9,34,310,13,28,0,31,42,72
,Flavobacterium fluvii,0,0,0,0,0,5,0,0,0,0,0,0
,Flavobacterium frigidimaris,0,0,0,0,0,0,0,0,0,37,0,0
,Flavobacterium gelidilacus,0,0,0,0,0,8,0,0,0,0,0,0
,Flavobacterium gilvum,10,34,0,6,43,364,20,20,6,21,32,118
,Flavobacterium indicum,8,57,0,20,62,391,12,22,0,33,66,159
,Flavobacterium johnsoniae,13,62,0,5,51,386,14,45,0,24,44,137
,Flavobacterium psychrophilum,19,77,8,9,104,688,31,30,0,89,110,276
,unclassified Flavobacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Flavobacterium sp.,0,0,0,0,22,82,0,0,0,6,20,13
,Flavobacterium sp. FLH 011/09,0,0,0,0,0,6,0,0,0,0,0,6
,Flavobacterium sp. KBS0721,18,66,5,8,47,449,29,23,5,34,45,124
,Formosa,13,3,5,4,1,8,2,4,5,1,1,5
,Formosa agariphila,13,88,9,29,100,699,20,13,0,60,186,417
,unclassified Formosa,0,0,0,0,0,0,0,0,0,0,0,0
,Formosa sp. Hel1_33_131,0,63,11,9,41,369,34,26,0,26,95,215
,Formosa sp. Hel3_A1_48,9,34,0,6,39,214,5,17,0,58,59,146
,Gillisia,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Gillisia,0,0,0,0,0,0,0,0,0,0,0,0
,Gillisia sp. Hel1_33_143,8,66,6,13,41,379,11,6,12,53,64,126
,Gilvibacter,0,0,0,0,0,0,0,0,0,0,1,0
,unclassified Gilvibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Gilvibacter sp. SZ-19,10,29,0,0,17,138,0,5,0,5,15,48
,Gramella,13,8,5,12,11,50,9,7,4,4,4,18
,Gramella flava,9,37,5,6,21,207,7,6,0,33,40,138
,Gramella forsetii,20,53,8,12,48,334,12,17,0,28,51,99
,unclassified Gramella,0,0,0,0,0,0,0,0,0,0,0,0
,Gramella sp. MAR_2010_102,7,28,0,7,45,307,0,29,5,26,45,103
,Gramella sp. MAR_2010_147,12,35,0,0,50,282,20,13,0,62,30,82
,Lacinutrix,1,14,6,3,15,73,5,1,0,7,15,41
,Lacinutrix venerupis,12,88,8,31,101,599,9,29,0,72,128,285
,unclassified Lacinutrix,0,0,0,0,0,0,0,0,0,0,0,0
,Lacinutrix sp. 5H-3-7-4,14,95,6,23,92,641,23,15,0,94,141,296
,Leeuwenhoekiella,0,0,0,0,0,5,0,0,0,0,0,0
,Lutibacter,0,5,0,0,6,9,0,0,0,0,7,12
,"environmental samples <CFB group bacteria,genus Lutibacter>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Lutibacter sp.,0,0,0,0,0,0,0,0,0,0,0,13
,Lutibacter litoralis,0,0,0,0,5,17,0,0,0,0,16,0
,Maribacter,6,3,1,7,2,115,1,5,0,2,5,30
,Maribacter caenipelagi,0,0,0,0,0,6,0,0,0,0,0,0
,Maribacter cobaltidurans,5,41,0,10,34,506,14,8,0,11,39,122
,unclassified Maribacter,0,0,0,0,0,0,0,0,0,0,0,0
,Maribacter sp. HTCC2170,26,97,6,47,168,4567,27,22,0,64,409,1405
,Maribacter sp. MAR_2009_60,10,33,7,13,38,504,18,12,0,30,72,186
,Mesonia,0,0,0,0,6,6,0,0,0,0,0,0
,Muricauda,3,1,0,3,0,4,8,5,0,11,0,3
,Muricauda lutaonensis,12,23,0,0,28,220,6,0,0,6,14,51
,Muricauda ruestringensis,10,46,0,9,21,339,13,17,0,0,27,94
,Myroides,9,50,6,7,61,206,18,46,0,60,39,90
,Myroides marinus,0,0,0,0,0,7,0,0,0,0,0,0
,Myroides odoratimimus,0,0,0,0,6,33,0,0,0,0,6,9
,Myroides profundi,0,0,0,0,30,68,0,7,0,7,7,23
,unclassified Myroides,0,0,0,0,0,0,0,0,0,0,0,0
,Myroides sp. A21,0,0,0,0,0,46,0,0,0,0,0,0
,Myroides sp. ZB35,0,0,0,0,0,11,0,0,0,24,0,0
,Nonlabens,18,38,12,18,41,193,30,33,0,26,39,50
,Nonlabens dokdonensis,0,21,0,8,33,213,9,0,0,31,46,102
,Nonlabens marinus,5,19,0,0,24,120,8,0,0,41,12,35
,Nonlabens sediminis,0,0,0,0,14,22,0,0,0,0,35,105
,Nonlabens spongiae,13,18,0,0,15,116,0,15,0,24,26,77
,unclassified Nonlabens,0,0,0,0,0,0,0,0,0,0,0,0
,Nonlabens sp. Hel1_33_55,10,13,0,5,31,163,0,0,0,5,23,39
,Nonlabens sp. MIC269,0,0,0,0,0,20,0,6,0,16,0,8
,Olleya,0,0,0,0,0,2,0,0,0,1,0,3
,Olleya aquimaris,13,90,0,10,133,673,25,40,0,50,135,286
,Ornithobacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Ornithobacterium rhinotracheale,0,21,0,5,39,272,10,7,0,18,37,43
,Polaribacter,19,129,32,26,296,755,30,34,14,232,328,557
,Polaribacter reichenbachii,17,80,10,20,171,863,24,20,7,107,212,446
,Polaribacter sejongensis,9,77,0,20,142,641,8,9,5,136,185,314
,unclassified Polaribacter,0,0,0,0,0,0,0,0,0,0,0,0
,Polaribacter sp. BM10,5,76,5,12,128,623,18,27,0,61,178,374
,Polaribacter sp. Hel1_33_78,27,166,16,27,2244,2240,14,41,0,243,297,798
,Polaribacter sp. MED152,10,65,5,25,113,628,15,27,0,79,193,359
,Polaribacter sp. SA4-10,15,99,12,28,187,810,16,22,0,124,254,517
,Polaribacter sp. SA4-12,19,125,13,26,228,949,9,36,0,164,242,543
,Psychroflexus,0,0,0,0,0,2,0,0,0,0,0,0
,Psychroflexus torquis,9,48,0,7,66,591,23,37,0,76,56,162
,Riemerella,0,1,0,0,1,0,0,0,0,0,1,0
,Riemerella anatipestifer,6,31,0,8,60,293,14,7,0,14,20,63
,Riemerella columbina,0,0,0,0,0,0,0,0,0,0,0,18
,Robiginitalea,0,0,0,0,0,0,0,0,0,0,0,0
,Robiginitalea biformata,27,33,0,6,5,109,12,15,0,0,0,10
,Salegentibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Salegentibacter salegens,7,41,9,5,59,377,19,12,0,23,25,102
,Sediminicola,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Sediminicola,0,0,0,0,0,0,0,0,0,0,0,0
,Sediminicola sp. YIK13,7,28,0,0,35,453,9,15,0,20,75,179
,Siansivirga,0,0,0,0,0,0,0,0,0,0,0,0
,Siansivirga zeaxanthinifaciens,28,136,13,19,147,1043,19,19,0,52,190,425
,Tenacibaculum,16,29,10,11,35,145,16,6,14,42,84,133
,Tenacibaculum adriaticum,0,0,0,0,0,8,0,0,0,0,0,0
,Tenacibaculum dicentrarchi,14,57,0,28,120,602,18,21,0,68,146,301
,Tenacibaculum geojense,0,0,0,0,0,5,0,0,0,0,0,0
,Tenacibaculum jejuense,8,72,5,18,125,628,13,62,10,94,155,310
,Tenacibaculum lutimaris,0,0,0,0,0,8,0,0,0,0,6,6
,Tenacibaculum maritimum,9,67,5,18,99,508,12,14,0,30,154,281
,Tenacibaculum mesophilum,21,79,7,16,121,513,18,17,0,60,180,261
,unclassified Tenacibaculum,0,0,0,0,0,0,0,0,0,0,0,0
,Tenacibaculum sp. SZ-18,10,67,0,15,90,444,12,19,0,33,163,288
,unclassified Flavobacteriaceae,3,3,4,14,3,1,6,3,6,5,2,7
,Flavobacteriaceae bacterium 3519-10,0,10,0,0,16,87,11,5,0,0,0,5
,Flavobacteriaceae bacterium MAR_2010_188,11,34,5,5,39,386,18,16,0,33,51,109
,Flavobacteriaceae bacterium UJ101,8,51,5,0,89,412,9,41,0,48,76,135
,Weeksella,0,0,0,0,0,0,0,0,0,0,0,0
,Weeksella virosa,7,9,0,0,21,126,50,5,0,6,12,22
,Winogradskyella,6,11,3,12,13,75,6,0,5,1,13,31
,unclassified Winogradskyella,0,0,0,0,0,0,0,0,0,0,0,0
,Winogradskyella sp. PC-19,13,65,0,10,59,553,23,18,0,50,106,200
,Winogradskyella sp. PG-2,20,153,12,36,107,693,13,28,0,49,136,419
,Winogradskyella sp. RHA_55,20,84,9,8,105,691,11,40,0,74,139,278
,Zobellia,0,0,0,0,0,9,0,0,0,0,3,6
,Zobellia galactanivorans,16,22,0,7,37,416,8,0,0,12,22,124
,Zunongwangia,0,0,0,0,0,0,0,0,0,0,0,0
,Zunongwangia profunda,12,52,0,9,35,307,6,20,0,18,66,181
,Ichthyobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Ichthyobacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Ichthyobacterium seriolicida,15,20,0,0,8,76,5,0,0,15,7,14
,unclassified Flavobacteriales,8,1,0,0,3,7,0,1,0,1,3,6
,Candidatus Sulcia,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Sulcia muelleri,5,24,0,0,22,99,7,10,0,5,12,14
,Candidatus Uzinura,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Uzinura diaspidicola,0,5,0,0,0,5,0,14,0,0,0,7
,Candidatus Walczuchella,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Walczuchella monophlebidarum,0,0,0,0,0,21,0,0,0,0,0,0
,unclassified Flavobacteriia,0,5,0,0,0,5,0,0,0,0,0,0
,Saprospiria,0,0,0,0,0,0,0,0,0,0,0,0
,Saprospirales,0,0,0,0,0,0,0,0,0,0,0,0
,Haliscomenobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0
,Haliscomenobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Haliscomenobacter hydrossis,50,59,0,7,30,175,32,25,0,15,23,89
,Saprospiraceae,1,3,11,7,4,5,6,6,6,3,1,3
,Saprospira,0,0,0,0,0,0,0,0,0,0,0,0
,Saprospira grandis,5,13,0,0,12,95,0,0,0,0,0,7
,Sphingobacteriia,1,3,2,0,2,5,2,0,1,1,2,2
,"environmental samples <CFB group bacteria,class Sphingobacteriia>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Sphingobacteriia bacterium,0,6,0,0,0,43,0,0,0,0,0,9
,Sphingobacteriales,10,20,3,7,7,82,11,6,1,6,5,5
,"environmental samples <CFB group bacteria,order Sphingobacteriales>",0,5,0,0,6,12,0,0,0,0,0,6
,uncultured Cytophagales bacterium,0,0,0,0,0,19,0,0,0,0,0,0
,uncultured Sphingobacteriales bacterium,0,0,0,0,0,11,0,0,0,0,0,0
,uncultured Sphingobacteriales bacterium HF0010_19H17,0,0,0,0,6,17,0,0,0,0,0,5
,Sphingobacteriaceae,10,25,21,20,39,326,21,15,10,14,23,56
,Anseongella,0,0,0,0,0,0,0,0,0,0,0,0
,Anseongella ginsenosidimutans,8,34,0,0,13,116,13,14,0,5,6,18
,Mucilaginibacter,8,8,17,17,23,38,12,7,4,9,311,810
,Mucilaginibacter ginsenosidivorans,9,30,6,0,7,118,13,0,0,0,0,10
,Mucilaginibacter ginsenosidivorax,20,26,0,6,22,221,17,25,5,14,17,108
,Mucilaginibacter gotjawali,18,36,0,0,16,195,23,25,0,9,0,11
