,,Depth (cm),,,
,Blattabacterium sp. (Nauphoeta cinerea),0,0,0,0
,Blattabacterium sp. (Periplaneta americana),0,0,0,0
,Crocinitomicaceae,0,0,0,0
,Fluviicola,0,0,0,0
,Fluviicola taffensis,5,5,0,0
,Cryomorphaceae,10,3,8,5
,Owenweeksia,0,0,0,0
,Owenweeksia hongkongensis,0,0,0,0
,Flavobacteriaceae,164,178,133,89
,Aequorivita,0,0,0,0
,Aequorivita sublithincola,6,0,7,0
,Arenibacter,0,0,0,0
,Arenibacter algicola,0,0,0,0
,Capnocytophaga,2560,25,27,15
,Capnocytophaga canimorsus,13,0,0,0
,Capnocytophaga cynodegmi,0,0,0,0
,Capnocytophaga gingivalis,764,0,0,0
,Capnocytophaga haemolytica,15,0,0,0
,Capnocytophaga leadbetteri,371,0,0,0
,Capnocytophaga ochracea,407,0,0,0
,Capnocytophaga sputigena,275,0,0,0
,unclassified Capnocytophaga,0,0,0,0
,Capnocytophaga sp. ChDC OS43,216,0,0,0
,Capnocytophaga sp. oral taxon 864,397,0,0,0
,Capnocytophaga sp. oral taxon 878,67,0,0,0
,Cellulophaga,2,9,9,0
,Cellulophaga algicola,0,0,0,0
,Cellulophaga baltica,0,0,0,0
,Cellulophaga lytica,6,0,0,0
,Chryseobacterium,81,65,89,45
,Chryseobacterium antarcticum,0,0,0,0
,Chryseobacterium arthrosphaerae,0,0,0,0
,Chryseobacterium balustinum,0,0,0,0
,Chryseobacterium bernardetii,0,6,0,0
,Chryseobacterium camelliae,0,0,6,0
,Chryseobacterium carnipullorum,0,0,0,0
,Chryseobacterium carnis,0,0,0,0
,Chryseobacterium gallinarum,0,0,0,0
,Chryseobacterium gleum,0,8,5,0
,Chryseobacterium haifense,6,9,0,0
,Chryseobacterium indologenes,8,12,9,6
,Chryseobacterium indoltheticum,0,0,0,0
,Chryseobacterium jeonii,0,0,0,0
,Chryseobacterium joostei,0,0,0,0
,Chryseobacterium lactis,0,0,5,0
,Chryseobacterium nakagawai,0,0,0,0
,Chryseobacterium piperi,0,5,0,0
,Chryseobacterium shandongense,5,7,30,0
,Chryseobacterium taklimakanense,14,6,0,0
,unclassified Chryseobacterium,0,0,0,0
,Chryseobacterium sp. StRB126,0,0,0,0
,Cloacibacterium,0,0,0,0
,Cloacibacterium normanense,15,0,0,0
,Croceibacter,0,0,0,0
,Croceibacter atlanticus,0,0,0,0
,Dokdonia,5,6,0,0
,Dokdonia donghaensis,0,0,0,0
,unclassified Dokdonia,0,0,0,0
,Dokdonia sp. 4H-3-7-5,0,0,0,0
,Dokdonia sp. MED134,0,0,0,0
,Elizabethkingia,18,7,13,0
,Elizabethkingia anophelis,0,0,0,0
,Elizabethkingia meningoseptica,0,0,0,0
,Elizabethkingia miricola,0,0,0,0
,Flagellimonas,0,0,0,0
,Flagellimonas maritima,0,0,0,0
,Flavobacterium,68,135,43,37
,Flavobacterium anhuiense,20,41,11,0
,Flavobacterium branchiophilum,15,20,5,0
,Flavobacterium columnare,5,19,5,0
,Flavobacterium commune,25,55,7,0
,Flavobacterium faecale,13,39,5,0
,Flavobacterium gilvum,21,60,0,0
,Flavobacterium indicum,13,13,0,0
,Flavobacterium johnsoniae,22,53,6,0
,Flavobacterium psychrophilum,28,71,9,0
,unclassified Flavobacterium,0,0,0,0
,Flavobacterium sp.,0,0,0,0
,Flavobacterium sp. KBS0721,30,66,6,17
,Formosa,7,10,0,0
,Formosa agariphila,0,0,0,0
,unclassified Formosa,0,0,0,0
,Formosa sp. Hel1_33_131,0,0,0,0
,Formosa sp. Hel3_A1_48,0,0,0,0
,Gillisia,0,0,0,0
,unclassified Gillisia,0,0,0,0
,Gillisia sp. Hel1_33_143,0,0,0,0
,Gilvibacter,0,0,0,0
,unclassified Gilvibacter,0,0,0,0
,Gilvibacter sp. SZ-19,0,0,0,0
,Gramella,10,15,10,7
,Gramella flava,0,0,11,0
,Gramella forsetii,5,0,5,0
,unclassified Gramella,0,0,0,0
,Gramella sp. MAR_2010_102,0,11,7,0
,Gramella sp. MAR_2010_147,0,5,0,0
,Lacinutrix,3,6,0,0
,Lacinutrix venerupis,5,0,0,0
,unclassified Lacinutrix,0,0,0,0
,Lacinutrix sp. 5H-3-7-4,0,0,0,0
,Leeuwenhoekiella,0,0,0,0
,"environmental samples <CFB group bacteria,genus Leeuwenhoekiella>",0,0,0,0
,uncultured Leeuwenhoekiella sp.,0,0,0,0
,Maribacter,12,6,6,0
,Maribacter cobaltidurans,0,0,0,0
,unclassified Maribacter,0,0,0,0
,Maribacter sp. HTCC2170,0,0,0,0
,Maribacter sp. MAR_2009_60,0,0,0,0
,Muricauda,2,7,6,0
,Muricauda lutaonensis,5,0,0,0
,Muricauda ruestringensis,0,0,16,0
,Myroides,8,5,0,0
,Myroides odoratimimus,0,0,0,0
,Myroides profundi,0,0,0,0
,Nonlabens,5,16,16,0
,Nonlabens dokdonensis,0,0,0,0
,Nonlabens marinus,0,0,0,0
,Nonlabens sediminis,0,0,0,0
,Nonlabens spongiae,0,0,0,0
,unclassified Nonlabens,0,0,0,0
,Nonlabens sp. Hel1_33_55,0,0,0,0
,Nonlabens sp. MIC269,0,0,0,0
,Olleya,0,0,0,0
,Olleya aquimaris,0,0,0,0
,Ornithobacterium,0,0,0,0
,Ornithobacterium rhinotracheale,0,7,22,0
,Polaribacter,27,22,19,0
,Polaribacter reichenbachii,0,0,5,0
,Polaribacter sejongensis,0,6,0,0
,unclassified Polaribacter,0,0,0,0
,Polaribacter sp. BM10,0,0,0,0
,Polaribacter sp. Hel1_33_78,6,0,0,0
,Polaribacter sp. MED152,0,0,0,0
,Polaribacter sp. SA4-10,0,0,0,0
,Polaribacter sp. SA4-12,0,6,0,0
,Psychroflexus,0,0,0,0
,Psychroflexus torquis,0,0,8,0
,Riemerella,0,0,0,0
,Riemerella anatipestifer,5,6,5,0
,Robiginitalea,0,0,0,0
,Robiginitalea biformata,15,6,12,6
,Salegentibacter,0,0,0,0
,Salegentibacter salegens,0,6,5,0
,Sediminicola,0,0,0,0
,unclassified Sediminicola,0,0,0,0
,Sediminicola sp. YIK13,0,0,0,0
,Siansivirga,0,0,0,0
,Siansivirga zeaxanthinifaciens,0,6,0,0
,Tenacibaculum,14,21,6,0
,Tenacibaculum dicentrarchi,0,0,0,0
,Tenacibaculum jejuense,0,8,0,0
,Tenacibaculum maritimum,0,0,5,0
,Tenacibaculum mesophilum,0,0,0,0
,unclassified Tenacibaculum,0,0,0,0
,Tenacibaculum sp. SZ-18,0,0,0,0
,unclassified Flavobacteriaceae,3,9,4,0
,Flavobacteriaceae bacterium 3519-10,5,0,0,0
,Flavobacteriaceae bacterium MAR_2010_188,0,9,8,0
,Flavobacteriaceae bacterium UJ101,0,0,0,0
,Weeksella,0,0,0,0
,Weeksella virosa,0,0,0,0
,Winogradskyella,7,7,8,0
,unclassified Winogradskyella,0,0,0,0
,Winogradskyella sp. PC-19,0,0,0,0
,Winogradskyella sp. PG-2,0,0,0,0
,Winogradskyella sp. RHA_55,0,0,0,0
,Zobellia,0,0,0,0
,Zobellia galactanivorans,0,0,0,0
,Zunongwangia,0,0,0,0
,Zunongwangia profunda,0,5,0,0
,Flavobacteriales incertae sedis,0,0,0,0
,Candidatus Sulcia,0,0,0,0
,Candidatus Sulcia muelleri,0,0,0,0
,Candidatus Walczuchella,0,0,0,0
,Candidatus Walczuchella monophlebidarum,0,0,0,0
,Ichthyobacteriaceae,0,0,0,0
,Ichthyobacterium,0,0,0,0
,Ichthyobacterium seriolicida,0,0,5,0
,unclassified Flavobacteriales,0,0,0,0
,Flavobacteriales endosymbiont of Icerya basiliensis,0,0,0,0
,Saprospiria,0,0,0,0
,Saprospirales,0,0,0,0
,Haliscomenobacteraceae,0,0,0,0
,Haliscomenobacter,0,0,0,0
,Haliscomenobacter hydrossis,16,10,15,0
,Saprospiraceae,0,0,10,0
,Saprospira,0,0,0,0
,Saprospira grandis,0,5,0,0
,Sphingobacteriia,1,0,1,1
,Sphingobacteriales,12,8,10,8
,"environmental samples <CFB group bacteria,order Sphingobacteriales>",0,0,0,0
,uncultured Cytophagales bacterium,0,0,0,0
,Sphingobacteriaceae,24,22,15,8
,Anseongella,0,0,0,0
,Anseongella ginsenosidimutans,0,6,15,0
,Mucilaginibacter,12,19,12,9
,Mucilaginibacter ginsenosidivorans,11,13,8,5
,Mucilaginibacter ginsenosidivorax,5,7,15,5
,Mucilaginibacter gotjawali,6,5,19,0
,Mucilaginibacter mallensis,9,22,56,0
,Mucilaginibacter xinganensis,9,5,7,0
,unclassified Mucilaginibacter,0,0,0,0
,Mucilaginibacter sp. PAMC 26640,6,0,0,0
,Pedobacter,31,39,25,12
,Pedobacter cryoconitis,0,0,0,0
,Pedobacter ginsengisoli,0,5,0,0
,Pedobacter heparinus,5,0,0,0
,Pedobacter steynii,0,0,5,0
,Pedobacter suwonensis,9,13,9,0
,Pseudopedobacter,0,0,0,0
,Pseudopedobacter saltans,0,0,5,0
,Solitalea,0,0,0,0
,Solitalea canadensis,0,7,0,0
,Sphingobacterium,26,32,26,15
,Sphingobacterium daejeonense,0,0,0,0
,Sphingobacterium mizutaii,0,0,0,0
,Sphingobacterium psychroaquaticum,0,0,5,0
,Sphingobacterium thalpophilum,5,5,0,0
,unclassified Sphingobacterium,0,0,0,0
,Sphingobacterium sp. 21,0,0,5,0
,Sphingobacterium sp. ML3W,0,0,0,0
,Sphingobacterium sp. PM2-P1-29,0,0,7,0
,unclassified Sphingobacteriaceae,13,3,1,0
,unclassified Bacteroidetes,1,0,1,0
,Balneolaeota,0,0,0,0
,unclassified Balneolaeota,0,0,0,0
,Candidatus Cyclonatronum,0,0,0,0
,Candidatus Cyclonatronum proteinivorum,18,0,21,7
,Chlorobi,1,1,1,3
,Chlorobia,0,0,0,0
,Chlorobiales,0,0,0,0
,Chlorobiaceae,29,8,9,16
,Chlorobaculum,12,9,13,8
,Chlorobaculum limnaeum,49,42,33,17
,Chlorobaculum parvum,27,15,30,5
,Chlorobaculum tepidum,40,22,26,14
,Chlorobium/Pelodictyon group,2,6,3,6
,Chlorobium,12,7,8,9
,Chlorobium chlorochromatii,0,15,11,0
,Chlorobium limicola,26,7,15,9
,Chlorobium phaeobacteroides,27,15,26,5
,Chlorobium phaeovibrioides,8,5,21,6
,Pelodictyon,2,5,3,2
,Pelodictyon luteolum,24,11,27,6
,Pelodictyon phaeoclathratiforme,5,13,13,0
,Chloroherpeton,0,0,0,0
,Chloroherpeton thalassium,16,7,20,0
,Prosthecochloris,0,0,0,0
,Prosthecochloris aestuarii,0,12,13,0
,unclassified Prosthecochloris,0,0,0,0
,Prosthecochloris sp. GSB1,22,20,17,10
,"environmental samples <green sulfur bacteria,phylum Chlorobi>",0,0,0,0
,uncultured Chlorobi bacterium,13,0,6,0
,Ignavibacteriae,0,0,0,0
,Ignavibacteria,0,0,0,0
,Ignavibacteriales,8,6,4,13
,Ignavibacteriaceae,0,0,0,0
,Ignavibacterium,1,0,0,0
,Ignavibacterium album,42,17,15,0
,Melioribacteraceae,0,0,0,0
,Melioribacter,0,0,0,0
,Melioribacter roseus,6,5,11,7
,Candidatus Cloacimonetes,0,0,0,0
,Candidatus Cloacimonas,0,0,0,0
,Candidatus Cloacimonas acidaminovorans,0,0,12,6
,Candidatus Latescibacteria,0,0,0,0
,"environmental samples <bacteria,phylum Candidatus Latescibacteria>",0,0,0,0
,uncultured Latescibacteria bacterium,0,0,0,0
,Candidatus Marinimicrobia,0,0,0,0
,"environmental samples <bacteria,phylum Candidatus Marinimicrobia>",0,0,0,0
,Fibrobacteres,0,1,1,0
,Fibrobacteria,0,0,0,0
,Fibrobacterales,0,0,0,0
,Fibrobacteraceae,0,0,0,0
,Fibrobacter,0,0,0,0
,"environmental samples <bacteria,genus Fibrobacter>",0,0,0,0
,uncultured Fibrobacter sp.,0,0,0,0
,Fibrobacter succinogenes,0,15,30,0
,Gemmatimonadetes,4,1,5,1
,"environmental samples <bacteria,phylum Gemmatimonadetes>",0,0,0,0
,uncultured Gemmatimonadetes bacterium,15,0,0,0
,Gemmatimonadetes <class>,15,3,6,1
,Gemmatimonadales,6,0,4,1
,"environmental samples <bacteria,order Gemmatimonadales>",0,0,0,0
,uncultured Gemmatimonadales bacterium HF4000_15H13,6,0,0,0
,Gemmatimonadaceae,0,0,2,0
,"environmental samples <bacteria,family Gemmatimonadaceae>",0,0,0,0
,uncultured Gemmatimonadaceae bacterium,0,0,0,0
,Gemmatimonas,23,0,9,1
,"environmental samples <bacteria,genus Gemmatimonas>",1,0,0,0
,uncultured Gemmatimonas sp.,13,0,0,0
,Gemmatimonas aurantiaca,118,25,42,30
,Gemmatimonas phototrophica,76,18,54,13
,Gemmatirosa,0,0,0,0
,Gemmatirosa kalamazoonesis,490,133,201,131
,unclassified Gemmatimonadetes,1,0,0,0
,Fusobacteria,0,0,0,0
,"environmental samples <fusobacteria,phylum Fusobacteria>",0,0,0,0
,uncultured Fusobacteria bacterium,0,0,0,0
,Fusobacteriia,0,0,0,0
,Fusobacteriales,11,1,1,1
,Fusobacteriaceae,5,5,5,0
,Fusobacterium,346,29,31,20
,Fusobacterium gonidiaformans,0,0,0,0
,Fusobacterium hwasookii,30,0,0,0
,Fusobacterium mortiferum,0,0,0,10
,Fusobacterium necrophorum,5,0,0,0
,Fusobacterium nucleatum,467,5,0,0
,Fusobacterium periodonticum,26,0,0,0
,Fusobacterium ulcerans,0,8,5,0
,Fusobacterium varium,0,0,6,0
,unclassified Fusobacterium,0,0,0,0
,Fusobacterium sp. oral taxon 203,0,0,0,0
,Ilyobacter,0,0,0,0
,Ilyobacter polytropus,0,5,8,0
,Psychrilyobacter,0,0,0,0
,Psychrilyobacter atlanticus,0,0,0,0
,Leptotrichiaceae,10,6,3,2
,Leptotrichia,637,26,24,12
,Leptotrichia buccalis,311,0,0,0
,Leptotrichia goodfellowii,5,0,0,6
,Leptotrichia hofstadii,114,0,5,0
,Leptotrichia hongkongensis,48,0,0,0
,Leptotrichia shahii,27,0,0,0
,Leptotrichia trevisanii,66,0,0,0
,Leptotrichia wadei,202,7,0,0
,unclassified Leptotrichia,0,0,0,0
,Leptotrichia sp. oral taxon 212,86,0,7,0
,Leptotrichia sp. oral taxon 498,380,0,0,0
,Sebaldella,0,0,0,0
,Sebaldella termitidis,0,0,5,0
,Sneathia,0,0,0,0
,Sneathia amnii,0,0,0,0
,Streptobacillus,0,0,0,0
,Streptobacillus moniliformis,0,0,0,0
,Nitrospinae/Tectomicrobia group,0,0,0,0
,Nitrospinae,0,0,0,0
,Nitrospinia,0,0,0,0
,Nitrospinales,0,0,0,0
,Nitrospinaceae,0,0,0,0
,Nitrospirae,23,23,69,3
,"environmental samples <bacteria,phylum Nitrospirae>",7,15,31,0
,uncultured Nitrospirae bacterium,23,30,90,6
,uncultured Nitrospirae bacterium MY2-3C,0,0,0,0
,uncultured Nitrospirae bacterium MY4-5C,0,0,0,0
,Nitrospira <class>,0,0,0,0
,Nitrospirales,1,1,0,0
,"environmental samples <bacteria,order Nitrospirales>",0,0,0,0
,uncultured Nitrospirales bacterium,0,0,0,0
,Nitrospiraceae,9,8,26,7
,Candidatus Magnetobacterium,0,0,5,0
,Candidatus Magnetobacterium bavaricum,0,0,0,0
,"environmental samples <bacteria,family Nitrospiraceae>",0,0,0,0
,uncultured Nitrospiraceae bacterium,0,0,0,0
,Leptospirillum,5,14,11,10
,Leptospirillum sp. Group I,0,0,0,0
,Leptospirillum ferrooxidans,12,5,12,5
,Leptospirillum sp. Group III,0,1,3,0
,Leptospirillum ferriphilum,18,8,24,0
,Nitrospira,129,8,16,4
,Candidatus Nitrospira bockiana,0,0,0,0
,"environmental samples <bacteria,genus Nitrospira>",0,0,0,0
,uncultured Nitrospira sp.,31,0,9,0
,Nitrospira defluvii,225,29,40,15
,Nitrospira japonica,185,21,45,24
,Nitrospira lenta,0,0,0,0
,Nitrospira moscoviensis,362,51,69,52
,Thermodesulfovibrio,3,3,0,0
,"environmental samples <bacteria,genus Thermodesulfovibrio>",0,0,0,0
,uncultured Thermodesulfovibrio sp.,0,0,12,0
,Thermodesulfovibrio yellowstonii,30,48,113,0
,Proteobacteria,19100,21965,8545,5498
,Acidithiobacillia,0,0,0,0
,Acidithiobacillales,0,0,0,0
,Acidithiobacillaceae,0,0,0,0
,Acidithiobacillus,42,42,29,8
,Acidithiobacillus caldus,49,46,34,11
,Acidithiobacillus ferridurans,39,57,6,6
,Acidithiobacillus ferrivorans,78,183,30,8
,Acidithiobacillus ferrooxidans,52,53,6,5
,Acidithiobacillus thiooxidans,0,0,0,0
,Alphaproteobacteria,4131,3034,4016,4375
,Alphaproteobacteria incertae sedis,15,8,11,17
,Micavibrio,0,0,0,0
,Micavibrio aeruginosavorus,23,18,27,20
,Polymorphum,0,0,0,0
,Polymorphum gilvum,146,83,128,142
,SAR116 cluster,0,0,0,0
,Candidatus Puniceispirillum,0,0,0,0
,Candidatus Puniceispirillum marinum,0,0,0,0
,Caulobacterales,0,0,0,0
,Caulobacteraceae,94,112,57,38
,Asticcacaulis,0,0,0,0
,Asticcacaulis excentricus,62,58,41,40
,Brevundimonas,97,88,55,34
,Brevundimonas diminuta,15,13,14,5
,Brevundimonas naejangsanensis,88,64,53,39
,Brevundimonas subvibrioides,59,53,43,33
,Brevundimonas vancanneytii,11,0,5,0
,Brevundimonas vesicularis,60,42,28,27
,"environmental samples <a-proteobacteria,genus Brevundimonas>",0,0,0,0
,uncultured Brevundimonas sp.,0,0,0,0
,unclassified Brevundimonas,0,0,0,0
,Brevundimonas sp. DS20,53,39,36,22
,Caulobacter,134,148,69,63
,Caulobacter henricii,47,45,30,25
,Caulobacter mirabilis,147,211,65,52
,Caulobacter segnis,61,47,41,22
,Caulobacter vibrioides,89,71,62,58
,unclassified Caulobacter,0,0,0,0
,Caulobacter sp. FWC26,40,27,24,15
,Caulobacter sp. K31,71,79,46,60
,Phenylobacterium,0,0,2,0
,Phenylobacterium zucineum,107,96,62,78
,"environmental samples <a-proteobacteria,class Alphaproteobacteria>",8,3,2,3
,uncultured alpha proteobacterium EB080_L84F03,0,0,0,0
,uncultured Alphaproteobacteria bacterium,24,15,15,15
,uncultured Green Bay ferromanganous micronodule bacterium MNH2,0,0,0,0
,uncultured methanotrophic alpha proteobacterium,0,0,0,0
,Holosporales,0,0,0,0
,Caedimonadaceae,0,0,0,0
,Candidatus Nucleicultrix,0,0,0,0
,Candidatus Nucleicultrix amoebiphila,0,5,0,7
,Candidatus Paracaedimonas,0,0,0,0
,Candidatus Paracaedimonas acanthamoebae,0,27,89,0
,Candidatus Paracaedibacteraceae,0,0,0,0
,Candidatus Paracaedibacter,0,0,0,0
,Candidatus Paracaedibacter acanthamoebae,0,0,6,0
,Holosporaceae,0,0,0,0
,Holospora,0,0,0,0
,Holospora obtusa,0,0,0,0
,unclassified Holosporaceae,0,0,0,0
,endosymbiont of Acanthamoeba sp. UWC8,0,0,0,0
,Magnetococcales,0,0,0,0
,Magnetococcaceae,0,0,0,0
,Magnetococcus,0,0,0,0
,Candidatus Magnetococcus massalia,25,7,18,5
,Magnetococcus marinus,23,9,18,0
,Parvularculales,0,0,0,0
,Parvularculaceae,0,0,0,0
,Parvularcula,0,0,0,0
,Parvularcula bermudensis,0,0,14,0
,Pelagibacterales,0,0,11,0
,Pelagibacteraceae,0,0,0,0
,Candidatus Pelagibacter,0,0,0,0
,Candidatus Pelagibacter ubique,0,0,0,0
,unclassified Candidatus Pelagibacter,0,0,0,0
,Candidatus Pelagibacter sp. HIMB1321,0,0,0,0
,Candidatus Pelagibacter sp. IMCC9063,0,0,0,0
,unclassified Pelagibacteraceae,0,0,0,0
,alpha proteobacterium HIMB5,0,0,0,0
,alpha proteobacterium HIMB59,0,0,0,0
,Rhizobiales,2622,2073,2925,3916
,Aurantimonadaceae,5,3,6,8
,Aurantimonas,13,14,14,22
,Aurantimonas coralicida,7,0,12,0
,Aurantimonas manganoxydans,6,9,0,0
,Aureimonas,3,11,2,3
,Aureimonas altamirensis,10,0,16,16
,Aureimonas frigidaquae,25,7,25,20
,Fulvimarina,0,0,0,0
,Fulvimarina manganoxydans,0,0,0,0
,Fulvimarina pelagi,6,0,0,5
,Martelella,11,8,9,4
,Martelella endophytica,39,30,48,41
,Martelella mediterranea,44,35,45,44
,unclassified Martelella,0,0,0,0
,Martelella sp. AD-3,39,40,38,35
,Bartonellaceae,0,0,0,0
,Bartonella,20,25,44,14
,Bartonella ancashensis,0,0,0,0
,Bartonella australis,0,0,0,0
,Bartonella bacilliformis,0,0,0,0
,Bartonella clarridgeiae,0,0,0,0
,Bartonella grahamii,0,0,0,0
,Bartonella henselae,0,0,0,0
,Bartonella quintana,0,0,0,0
,Bartonella schoenbuchensis,0,0,0,0
,Bartonella tribocorum,0,0,0,0
,Bartonella vinsonii,0,0,0,0
,"environmental samples <a-proteobacteria,genus Bartonella>",0,0,0,0
,uncultured Bartonella sp.,0,0,0,0
,unclassified Bartonella,0,0,0,0
,Bartonella sp.,0,0,0,0
,Bartonella sp. 1-1C,0,0,0,0
,Bartonella sp. AR 15-3,0,0,0,0
,Beijerinckiaceae,7,0,9,15
,Beijerinckia,0,0,2,0
,Beijerinckia indica,26,25,30,34
,Methylocapsa,0,0,0,0
,Methylocapsa acidiphila,0,0,0,0
,Methylocella,2,7,4,3
,Methylocella silvestris,55,77,64,112
,Methylocella tundrae,58,44,53,79
,Methylovirgula,0,0,0,0
,Methylovirgula ligni,76,39,61,93
,Bradyrhizobiaceae,749,532,839,1297
,Afipia,0,0,0,0
,Bosea,0,5,0,0
,Bradyrhizobium,1854,1519,2022,3686
,Bradyrhizobium amphicarpaeae,48,27,38,38
,Bradyrhizobium canariense,120,75,110,190
,Bradyrhizobium denitrificans,0,0,0,0
,Bradyrhizobium diazoefficiens,115,82,99,150
,Bradyrhizobium elkanii,0,0,0,0
,Bradyrhizobium erythrophlei,493,312,421,1378
,Bradyrhizobium guangdongense,54,45,74,85
,Bradyrhizobium guangxiense,62,40,58,79
,Bradyrhizobium guangzhouense,60,40,58,96
,Bradyrhizobium icense,216,217,301,632
,Bradyrhizobium japonicum,92,72,88,149
,Bradyrhizobium lablabi,179,96,143,322
,Bradyrhizobium oligotrophicum,109,67,96,108
,Bradyrhizobium ottawaense,65,51,56,105
,Bradyrhizobium symbiodeficiens,16,5,14,20
,Bradyrhizobium zhanjiangense,74,50,60,76
,"environmental samples <a-proteobacteria,genus Bradyrhizobium>",0,0,0,0
,uncultured Bradyrhizobium sp.,0,0,0,0
,unclassified Bradyrhizobium,0,0,0,0
,Bradyrhizobium sp.,109,90,112,127
,Bradyrhizobium sp. 3,13,6,8,6
,Bradyrhizobium sp. 58S1,22,25,26,35
,Bradyrhizobium sp. BTAi1,114,70,88,122
,Bradyrhizobium sp. CCBAU 33143,0,0,0,0
,Bradyrhizobium sp. CCGE-LA001,67,41,60,77
,Bradyrhizobium sp. INPA10A,0,0,0,0
,Bradyrhizobium sp. ORS 278,88,62,97,107
,Bradyrhizobium sp. ORS 285,80,51,86,93
,Bradyrhizobium sp. ORS 3257,68,49,53,87
,Bradyrhizobium sp. S23321,25,19,38,14
,Nitrobacter,5,6,12,13
,"environmental samples <a-proteobacteria,genus Nitrobacter>",0,0,0,0
,uncultured Nitrobacter sp.,0,0,0,0
,Nitrobacter hamburgensis,90,46,87,155
,Nitrobacter winogradskyi,60,29,66,74
,Oligotropha,0,0,0,1
,Oligotropha carboxidovorans,58,56,86,125
,Rhodopseudomonas,1,0,2,3
,Rhodopseudomonas palustris,926,601,831,1140
,Tardiphaga,0,0,0,0
,Tardiphaga robiniae,0,0,0,7
,Brucellaceae,0,3,3,2
,Brucella,68,47,74,63
,Brucella abortus,0,0,0,0
,Brucella melitensis,0,0,0,0
,Brucella vulpis,0,0,0,0
,unclassified Brucella,0,0,0,0
,Brucella sp. 09RB8471,5,0,0,0
,Brucella sp. 10RB9215,0,5,0,0
,Mycoplana,0,0,0,0
,Mycoplana dimorpha,0,0,0,0
,Ochrobactrum,24,24,41,30
,Ochrobactrum anthropi,35,12,42,40
,Ochrobactrum pituitosum,0,0,0,0
,Ochrobactrum pseudogrignonense,0,0,5,5
,Ochrobactrum quorumnocens,15,5,0,0
,Chelatococcaceae,0,0,0,0
,Chelatococcus,0,0,0,0
,Chelatococcus daeguensis,137,98,132,149
,"environmental samples <a-proteobacteria,order Rhizobiales>",0,0,0,0
,uncultured Rhizobiales bacterium,0,0,0,0
,Hyphomicrobiaceae,29,43,56,62
,Blastochloris,0,0,0,1
,Blastochloris viridis,156,110,133,207
,Devosia,1,2,3,0
,Devosia submarina,0,0,0,0
,"environmental samples <a-proteobacteria,genus Devosia>",0,0,0,0
,uncultured Devosia sp.,0,0,0,0
,"environmental samples <a-proteobacteria,family Hyphomicrobiaceae>",0,0,0,0
,uncultured Hyphomicrobiaceae bacterium,0,0,0,0
,Filomicrobium,0,0,0,0
,Candidatus Filomicrobium marinum,24,34,55,65
,Hyphomicrobium,15,42,73,77
,"environmental samples <a-proteobacteria,genus Hyphomicrobium>",0,0,0,0
,uncultured Hyphomicrobium sp.,0,0,0,0
,Hyphomicrobium denitrificans,119,149,251,299
,Hyphomicrobium methylovorum,0,0,0,0
,Hyphomicrobium nitrativorans,114,168,235,374
,Hyphomicrobium zavarzinii,0,0,0,0
,unclassified Hyphomicrobium,0,0,0,0
,Hyphomicrobium sp.,0,0,0,0
,Hyphomicrobium sp. MC1,47,89,136,219
,Maritalea,0,0,0,0
,Maritalea myrionectae,7,5,12,0
,Pedomicrobium,0,0,0,0
,"environmental samples <a-proteobacteria,genus Pedomicrobium>",0,0,0,0
,uncultured Pedomicrobium sp.,0,0,0,0
,Pelagibacterium,0,0,0,0
,Pelagibacterium halotolerans,55,47,68,48
,Rhodomicrobium,0,1,1,0
,Rhodomicrobium vannielii,62,88,107,131
,Rhodoplanes,2,0,1,2
,"environmental samples <a-proteobacteria,genus Rhodoplanes>",0,0,0,0
,uncultured Rhodoplanes sp.,0,0,0,0
,Rhodoplanes elegans,0,0,0,0
,unclassified Rhodoplanes,0,0,0,0
